nesterukia@nesterukia-VirtualBox:~$ ps -eF
UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
   1495 /usr/libexec/xdg-document-p    1438  0
   1499 /usr/libexec/xdg-permission    1438  0
   1505 fusermount3 -o rw,nosuid,no    1495  0
   1540 /usr/libexec/tracker-miner-    1438  0
   1553 /usr/libexec/gnome-session-    1438  0
   1564 /usr/libexec/gnome-session-    1438  0
   1569 /usr/libexec/gvfs-udisks2-v    1438  0
   1579 /usr/libexec/gvfs-afc-volum    1438  0
   1584 /usr/libexec/gvfs-gphoto2-v    1438  0
   1592 /usr/libexec/gvfs-mtp-volum    1438  0
   1596 /usr/libexec/gvfs-goa-volum    1438  0
   1600 /usr/libexec/goa-daemon        1438  0
   1606 /usr/bin/gnome-shell           1438  1
   1609 /usr/libexec/at-spi-bus-lau    1564  0
   1616 /usr/bin/dbus-daemon --conf    1609  0
   1627 /usr/libexec/goa-identity-s    1438  0
   1689 /usr/libexec/xdg-desktop-po    1438  0
   1693 /usr/libexec/xdg-desktop-po    1438  0
   1696 /usr/libexec/gnome-shell-ca    1438  0
   1706 /usr/libexec/evolution-sour    1438  0
   1714 /usr/libexec/evolution-cale    1438  0
   1723 /usr/libexec/dconf-service     1438  0
   1727 /usr/libexec/evolution-addr    1438  0
   1742 /usr/libexec/gvfsd-trash --    1461  0
   1754 /usr/bin/gjs /usr/share/gno    1438  0
   1756 /usr/libexec/at-spi2-regist    1438  0
   1765 sh -c /usr/bin/ibus-daemon     1438  0
   1767 /usr/libexec/gsd-a11y-setti    1438  0
   1769 /usr/bin/ibus-daemon --pane    1765  0
   1770 /usr/libexec/gsd-color         1438  0
   1773 /usr/libexec/gsd-datetime      1438  0
   1776 /usr/libexec/gsd-housekeepi    1438  0
   1779 /usr/libexec/gsd-keyboard      1438  0
   1782 /usr/libexec/gsd-media-keys    1438  0
   1785 /usr/libexec/gsd-power         1438  0
   1789 /usr/libexec/gsd-print-noti    1438  0
   1790 /usr/libexec/gsd-rfkill        1438  0
   1792 /usr/libexec/gsd-screensave    1438  0
   1793 /usr/libexec/gsd-sharing       1438  0
   1801 /usr/libexec/gsd-smartcard     1438  0
   1805 /usr/libexec/gsd-sound         1438  0
   1812 /usr/libexec/gsd-wacom         1438  0
   1813 /usr/libexec/gsd-disk-utili    1564  0
   1845 /usr/libexec/ibus-dconf        1769  0
   1846 /usr/libexec/ibus-extension    1769  0
